[2026-04-21 20:50:58] === START MERGE BAZE DE DATE ===
[2026-04-21 20:50:58] Client CUI=18171186 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO22574322 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43579900 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO48937227 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO18852536 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO44134411 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO6971355 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO48532835 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO33077647 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO25860000 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO43082624 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=47697363 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=44301889 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO34235125 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO14617406 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=28798728 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=28449612 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=42289665 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=51247235 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=51256071 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=50780522 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO44686580 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=41816392 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO42117333 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=49752375 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=42453333 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43181792 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO36803442 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43266791 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO43567387 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO37660537 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO45214969 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=45982487 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO30803567 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=42555651 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=17557007 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO5776011 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO33327379 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=41951224 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO21098689 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO23919632 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO5490132 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO7484994 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=38635833 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=R14929360 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO669251 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO25264547 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO664033 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO646533 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO663941 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=26327295 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO31223622 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO5320103 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=19695197 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO23489004 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=33381157 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO23175486 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO41709558 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO41194249 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO32853260 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO6043531 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO46103845 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=42060580 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO32980956 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO17249520 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=47042274 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO10340271 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO15268789 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO2830183 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO23669528 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=37173167 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=35734182 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=49984413 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO15004787 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=48944739 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=34109984 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=37316992 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=49611864 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=30177200 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=47102449 deja existent, fără modificări
[2026-04-21 20:50:58] Actualizat client CUI=38059951: Sediu_Social=?
[2026-04-21 20:50:58] Client CUI=48753631 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=10580150 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=26454191 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43063827 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=32594475 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=21708116 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=42669613 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=54285624 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=21167592 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=11359108 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=49391254 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO6903520 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=48929593 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=39775002 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=33964207 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=48614536 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=7075981 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43693210 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO7605484 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO37605311 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=45185910 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=43069005 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO37669161 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO15774840 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=46550746 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO45470975 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=RO3358560 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=33834967 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=44386117 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=13600597 deja existent, fără modificări
[2026-04-21 20:50:58] Client CUI=13237387 deja existent, fără modificări
[2026-04-21 20:50:58] Adăugat client nou: CUI=39156278
[2026-04-21 20:50:58] Adăugat client nou: CUI=32719323
[2026-04-21 20:50:58] Adăugat client nou: CUI=RO32640652
[2026-04-21 20:50:58] Adăugat client nou: CUI=30869839
[2026-04-21 20:50:58] Adăugat client nou: CUI=RO43016175
[2026-04-21 20:50:58] Adăugat client nou: CUI=30772258
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-24 00:00:00 → 2026-06-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-12-21 00:00:00 → 2026-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090017015 client CUI=18171186: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-24 00:00:00 → 2026-06-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-12-21 00:00:00 → 2026-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090016893 client CUI=18171186: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-24 00:00:00 → 2026-06-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-12-21 00:00:00 → 2026-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090016892 client CUI=18171186: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-24 00:00:00 → 2026-06-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-12-21 00:00:00 → 2026-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090016891 client CUI=18171186: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-24 00:00:00 → 2026-06-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-12-21 00:00:00 → 2026-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090016890 client CUI=18171186: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-24 00:00:00 → 2026-06-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-12-21 00:00:00 → 2026-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090016889 client CUI=18171186: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2027-12-10 00:00:00 → 2027-12-10 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2027-02-11 00:00:00 → 2027-02-11 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4500018733 client CUI=43279791: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-06 00:00:00 → 2026-05-06 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2027-02-06 00:00:00 → 2027-02-06 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=ZEX067913 client CUI=RO46769127: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-08-19 00:00:00 → 2026-08-19 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2027-08-19 00:00:00 → 2027-08-19 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200003270 client CUI=RO12290706: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-08-19 00:00:00 → 2026-08-19 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-08-19 00:00:00 → 2026-08-19 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4400019147 client CUI=RO12290706: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-08-18 00:00:00 → 2026-08-18 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200120823 client CUI=RO32069000: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-20 00:00:00 → 2026-05-20 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-08-18 00:00:00 → 2026-08-18 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200037828 client CUI=18205718: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-06-25 00:00:00 → 2026-06-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-08-18 00:00:00 → 2026-08-18 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4700004200 client CUI=RO7377238: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-11-20 00:00:00 → 2026-11-20 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090014991 client CUI=48989471: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2050-02-20 00:00:00 → 2050-02-20 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200043528 client CUI=RO2829170: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2050-02-20 00:00:00 → 2050-02-20 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200043529 client CUI=RO2829170: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-08-17 00:00:00 → 2026-08-17 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200043419 client CUI=RO6902622: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-08-17 00:00:00 → 2026-08-17 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200043421 client CUI=RO11879321: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2050-08-25 00:00:00 → 2050-08-25 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=VF10004957 client CUI=RO14000817: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2050-08-25 00:00:00 → 2050-08-25 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DP10001994 client CUI=RO4376300: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-11-03 00:00:00 → 2026-11-03 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=ZEX014754 client CUI=30892025: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2050-12-21 00:00:00 → 2050-12-21 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4090035044 client CUI=RO31292606: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-11-03 00:00:00 → 2026-11-03 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4200030997 client CUI=RO21417214: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-25 00:00:00 → 2026-05-25 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2050-11-30 00:00:00 → 2050-11-30 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DP100040466 client CUI=10190930: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-07-09 00:00:00 → 2026-07-09 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4700001078 client CUI=RO16743338: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:58] Data_Exp_Gprs protejat: 2026-07-09 00:00:00 → 2026-07-09 00:00:00
[2026-04-21 20:50:58] Actualizat sediu Serie_Amef=DB4700004188 client CUI=RO16743338: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:58] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-05-20 00:00:00 → 2050-05-20 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=CPE8051718290335 client CUI=RO14190479: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-11 00:00:00 → 2026-10-11 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200017553 client CUI=6949153: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-10-11 00:00:00 → 2026-10-11 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZEX002525 client CUI=6949153: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-15 00:00:00 → 2026-06-15 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200043591 client CUI=RO15376500: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-02-28 00:00:00 → 2026-02-28 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-11-05 00:00:00 → 2026-11-05 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=VF10005746 client CUI=RO668981: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-11-05 00:00:00 → 2050-11-05 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA9254 client CUI=8707989: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2025-11-25 00:00:00 → 2025-11-25 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-11-05 00:00:00 → 2050-11-05 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAB4227 client CUI=41698815: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-02-23 00:00:00 → 2050-02-23 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090032198 client CUI=RO20329912: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-28 00:00:00 → 2026-05-28 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-11-01 00:00:00 → 2026-11-01 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=ZCM010469 client CUI=40831912: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-24 00:00:00 → 2026-05-24 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-02-25 00:00:00 → 2050-02-25 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=VF10005868 client CUI=10658535: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-05-19 00:00:00 → 2026-05-19 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-08-10 00:00:00 → 2026-08-10 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090005261 client CUI=RO46440697: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2050-03-01 00:00:00 → 2050-03-01 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=M7MLTAA2617 client CUI=RO16174780: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-23 00:00:00 → 2026-06-23 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-06-04 00:00:00 → 2026-06-04 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4090034486 client CUI=44317079: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2027-03-04 00:00:00 → 2027-03-04 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2027-03-04 00:00:00 → 2027-03-04 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4500020117 client CUI=RO45509021: Data_Exp_Abon=?, Data_Exp_Gprs=?
[2026-04-21 20:50:59] Data_Exp_Abon protejat: 2026-06-18 00:00:00 → 2026-06-18 00:00:00
[2026-04-21 20:50:59] Data_Exp_Gprs protejat: 2026-07-15 00:00:00 → 2026-07-15 00:00:00
[2026-04-21 20:50:59] Actualizat sediu Serie_Amef=DB4200004987 client CUI=RO16259789: Data_Exp_Abon=?, Data_Exp_Gprs=?
